"Meslek","Şehir","Nitelikler"
"Üretim Raporlama Uzman Yardımcısı","Balıkesir","  Balıkesir Susurluk Bölgesinde ki fabrikamızda Assan Foods ailesine katılmak üzere ""Üretim Raporlama Uzman Yardımcısı"" arayışımız bulunmaktadır.  GENEL NİTELİKLER  ·       Üniversitelerin  Mühendislik yada Bilgisayar Teknolojisi ve Programlama bölümlerinden mezun,  ·       Tercihen üretim raporlama, veri analizi  2 yıl deneyim sahibi,  ·       Microsoft Office ve ERP programlarını iyi seviyede kullanabilen,  ·       Veri analizi ve raporlaması konusunda yetkin,  ·       Balıkesir (Bandırma-Susurluk) ve/veya Bursa (Karacabey-Mustafakemalpaşa) ikamet eden/edebilecek "
"Mobile Application Developer","Kocaeli","Cross-platform Mobil Uygulama Geliştirme konusunda tecrübeli Tercihen Xamarin ile çalışmış Öğrenmeye açık Mesleki İngilizceye hakim Tercihen üniversitelerin Bilgisayar Mühendisliği ve benzer bölümlerinden mezun Referans gösterebilecek Erkek adaylar için askerliğini tamamlamış  Mobil Yazılım Geliştirme Mühendisi alınacaktır.     Görevler :   "
"Yazılım Uzmanı","İzmir"," "
"Yazılım Uzmanı","Kocaeli"," "
"Yazılım Mühendisi"," ","-C# proje deneyimi bulunan,  - ASP.NET ile minimum 2 yıl proje geliştirmiş,  - MVC proje deneyimi olan,  - Katmanlı mimari konusunda deneyimli,  - XML, JSON yapılarına hakim,  - Web Services bilgisine sahip,  - Source Control sistemlerinden (GIT, Azure Devops) en az birini kullanmış,  -Literatürü takip edebilecek mesleki ingilizce bilgisine sahip, "
"E-Ticaret Uzmanı","Gaziantep"," "
"İş Geliştirme Uzman Yardımcısı","Samsun"," "
"Php Yazılım Geliştirme Uzmanı","İstanbul"," "
"Arayüz Yazılım Geliştirme Uzmanı"," ","*  Üniversitelerin Bilgisayar Mühendisliği, Yazılım Mühendisliği veya ilgili diğer bölümlerinden mezun,  *  Arayüz teknolojilerine hakim,  *  HTML, Javascript, CSS konularında uzman,  *  Git / SVN gibi kod versiyonlama araçlarını etkin bir şekilde kullanabilen,   *  Tercihen Java teknolojileri ile uygulama geliştirme tecrübesi olan,  *  Tercihen web service teknolojilerinde deneyimli (SOAP, REST)  *  Tercihen ilişkisel veritabanları konusunda bilgili,  *  Takım çalışmasına yatkın, etkili iletişim kurabilen, "
"Bilişim Yazılım Eğitmenleri","İstanbul","Tercihen MCT Sertifikasına sahip,  Bilişim bölüm mezunları haricindeki başvurularda alanıyla ilgili MEB onaylı sertifikası olan,  Tercihen eğitmenlik deneyimi olan ve/veya eğitim verme konusunda kendine güvenen,  Güleryüzlü, iletişim gücü yüksek, yeniliklere açık ve insan ilişkileri gelişmiş,  Diksiyonu düzgün,  Teknolojiyi yakından takip eden,  Proje bazlı çalışabilecek  İş Tanımı "
"ERP Uzmanı","Yalova","Genel Nitelikler  Üniversitelerin Bilgisayar Mühendisliği, Bilgisayar Bilimleri Mühendisliği, Yazılım Mühendisliği veya benzeri bölümlerinden mezun,  IFS ERP süreçleri hakkında bilgi sahibi,  IFS ERP geliştirme tecrübesine sahip,  C#, Java, Phyton, Javascript, HTML dillerinden en az birinde proje geliştirme tecrübesine sahip,  İlişkisel Veritabanı ve Veritabanı modelleme konularına hakim,  Oracle Veritabanı tecrübesi olması, ileri derece PL/SQL bilgisi olması,  Teknik dokümantasyonu takip edebilecek seviyede İngilizce bilmesi, "
"Uzman Yazılım Mühendisi"," "," "
"Mechanical Engineering (Asst / Assoc / Prof )"," ","     The posts advertised as Lecturers are at the Assistant Professor, Associate Professor and Professor level. Salary bands will be dependent on the experience, references, publications and academic title. Successful candidates will demonstrate a record of high quality journal publications in the relevant field and should be able and willing to relocate to Kyrenia, Cyprus if selected.   Applications will be assessed on a rolling basis. All applicants Should be able to provide the following Documentations:  ·  a Cover Letter, an updated YOK FORMAT CV and provide names and contact information of 2 (two) Academic Referees, ·   a valid academic English certification score (i.e. YOK, TOEFL, IELTS, YOK, UDS) or similar     Job Description :  "
"Computer Engineering (Asst / Assoc / Prof )"," "," Applications are invited from qualified international candidates to the following posts available within the American Education Consortium member higher education institutions.      Girne American University was founded in 1985 and has grown from its small beginnings to being a very strong university with 15,000 students from over 100 countries. GAU offers programs at the Undergraduate, Master’s and PhD level in 150 different programs. With students and faculty members from over 153 countries, GAU is truly a global higher education institution of choice for all young learners.       The posts advertised as Lecturers are at the Assistant Professor, Associate Professor and Professor level. Salary bands will be dependent on the experience, references, publications and academic title. Successful candidates will demonstrate a record of high quality journal publications in the relevant field and should be able and willing to relocate to Kyrenia, Cyprus if selected.      "
"Yazılım Geliştirme Uzmanı (Android)","İstanbul"," "
"Yazılım Geliştirme Uzmanı / IOS","İstanbul"," "
"Yazılım Uzmanı"," "," "
"Yazılım Uzmanı","İstanbul"," "
"Test Mühendisi","Adana, Ankara, İstanbul"," "
"Full Stack Developer","İstanbul"," "
"Yazılım Geliştirme Uzmanı","İstanbul","Tercihen .NET platformunda yazılım geliştirme tecrübesine sahip, Mysql, Mssql veya diğer veritabanı teknolojilerinden en az birinde sistem geliştirmiş, Restful, SOAP konularında bilgi sahibi JQuery, CSS3, HTML5 teknolojilerine hâkim, Yazılım ve Proje Yönetimi Metodoljilerini uygulayabilecek, Literatürü takip edebilecek düzeyde İngilizce bilgisine sahip, Takım çalışmasına yatkın, iletişimi güçlü, iş takibi kuvvetli,  Analitik ve algoritmik düşünebilen, problem çözücü ve sonuç odaklı çalışan, Adaptasyon ve iş sorumluluğu konusunda kendisine güvenen, Erkek adaylar için askerliğini tamamlamış olmak.  İŞ TANIMI  1986 yılından bu yana Türkiye saat sektörünün önde gelen distribütör firmalarından ERSA Saat, Çamlıca' da bulunan Merkez Ofisinde Bilgi İşlem Ekibinde görevlendirilecek Yazılım Geliştirme Uzmanı arıyor.  Yazılım projelerinde uygulama geliştirme alanında çalışmak, "
"IT Sunucu ve Sanal Sistemler Uzman Yardımcısı","İstanbul"," "
"Delphi Yazılım Uzmanı","İstanbul"," "
"Yazılım Uzmanı","Bursa"," "
"Bilgi Teknolojileri Uzmanı","Antalya"," "
"Yazılım Geliştirme Uzmanı","İstanbul"," "
"Yazılım Geliştirme Uzmanı"," ","  NİTELİKLER;  ·         Üniversitelerin Endüstri / Bilgisayar  Mühendisliği, Yönetim Bilgi Sistemleri veya Bilgisayar Programcılığı Bölümlerinden mezun,  ·         Yazılım sektöründe 2 yıl yazılım geliştirme tecrübesine sahip,  ·         MsSQL ile çalışmış ve iyi derecede T-SQL bilgisi olan,  ·          .NET (ASP.NET MVC) platformunda C# ile uygulama geliştirmiş,   ·         Web servis tecrübesi olan (RESTful, WebAPI, WCF,  JSON, XML),  "
"SAP ABAP Uzmanı","Kocaeli"," "
"İş Analisti (Hazine ve Yatırım İşlemleri)","İstanbul"," "
"Yazılım Uzmanı (İnsan Kaynakları Modülleri)","İstanbul"," "
"Yazılım Uzmanı","İstanbul"," "
"Yazılım Uzmanı (E-Ticaret)","İstanbul"," "
"Kıdemli Yazılım Geliştirme Uzmanı"," ","Agile, Scrum metodolojileri hakim, ASP.NET MVC konusunda tecrübe sahibi, WebAPI konusunda tecrübeli, Tercihen Asp.Net Core hakkında bilgi sahibi, ORM(Entity FW, vs.) geliştirmiş, DB (PostgreSQL, Oracle, vs.) kullanımı konusunda tecrübeli, Javascript tecrübe sahibi, Tercihen Typescript konusunda  bilgi sahibi, Tercihen Telerik, KendoUI bilgisine sahip, Unit Of Work, Transaction Yönetimi konusunda bilgi sahibi, Logging (Log4Net, NLog, vs.) konusunda bilgi sahibi, Dependency Injection (Ninject, Autofact, vs.) konusunda bilgi sahibi, Cache (Redis, vs.) konusunda bilgi sahibi, Asenkron programlama, Message Queue (RabbitMQ, vs.) konusunda bilgi sahibi, Çoklu dil desteği, localization konusunda bilgi sahibi, "
"Yazılım Danışmanı","Ankara, İstanbul"," -        MSSQL Server veritabanına hakim, tercihen PostgreSql kullanmış,  -        Design Pattern, Solid yapılarını kullanmış ve deneyimi olan,  -        Javascript, Jquery, En az 1 Javascript Framework kullanmış,  -        Tercihen Angular proje geliştirme tecrübesi, Html5, Css3 kullanmış ve deneyimi olan,  -        Servis tabanlı uygulamalar konusunda bilgili, tercihen web api konusunda deneyimli,  -        Yazılım kalite süreçleri hakkında bilgi sahibi olan,  -        Devops ve Cloud hakkında bilgi sahibi olan,  "
